"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE, COWS, BEEF - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, BEEF - INVENTORY  -  <b>CV (%)</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","","99","OTHER COUNTIES","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","5,600","","500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","2,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","700","","13,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,200","","5,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","","","800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,100","","18,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,300","","23,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,700","","11,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,700","","6,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,500","","10,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,700","","9,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,500","","14,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","CENTRAL","50","UNION","159","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,500","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","BELMONT","013","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","700","","20,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","CARROLL","019","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","2,900","","16,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","COSHOCTON","031","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,000","","25,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","HARRISON","067","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","200","","11,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","HOLMES","075","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","16,500","","66,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","JEFFERSON","081","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,100","","8,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","EAST CENTRAL","60","TUSCARAWAS","157","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","8,400","","34,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","ASHLAND","005","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","6,600","","27,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","CRAWFORD","033","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,600","","8,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","ERIE","043","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","200","","2,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","HURON","077","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","2,800","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","LORAIN","093","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,300","","11,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","OTTAWA","123","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","","","1,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","RICHLAND","139","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","7,400","","26,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","SANDUSKY","143","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,000","","5,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","SENECA","147","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","9,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTH CENTRAL","20","WYANDOT","175","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,300","","3,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","ASHTABULA","007","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","4,800","","16,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","COLUMBIANA","029","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","8,100","","30,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","GEAUGA","055","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,000","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","LAKE","085","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","MAHONING","099","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","5,100","","14,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","MEDINA","103","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,900","","9,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","PORTAGE","133","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,300","","7,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","STARK","151","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","7,600","","25,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","SUMMIT","153","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","",""," (D)","","700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","TRUMBULL","155","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","2,600","","11,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHEAST","30","WAYNE","169","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","31,500","","95,000",""
