,Program_x,Year_x,Period_x,Week Ending_x,Geo Level_x,State_x,State ANSI_x,Ag District_x,Ag District Code_x,County_x,County ANSI,Zip Code_x,Region_x,watershed_code_x,Watershed_x,Commodity_x,Domain_x,Domain Category_x,"CATTLE, COWS, BEEF - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, BEEF - INVENTORY  -  <b>CV (%)</b>",Dairy_Cows_x,"CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>_x","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>_x","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>_x",Program_y,Year_y,Period_y,Week Ending_y,Geo Level_y,State_y,State ANSI_y,Ag District_y,Ag District Code_y,County_y,Zip Code_y,Region_y,watershed_code_y,Watershed_y,Commodity_y,Domain_y,Domain Category_y,Dairy_Cows_y,"CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>_y","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>_y","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>_y",FIPS
2,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,DELAWARE,041,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,300,,"2,700",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,,,0,,CATTLE,TOTAL,NOT SPECIFIED,300,,"2,600",,39041
3,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,FAIRFIELD,045,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,700,,"13,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,,,0,,CATTLE,TOTAL,NOT SPECIFIED,700,,"12,500",,39045
4,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,FAYETTE,047,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,1200,,"5,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,FAYETTE,,,0,,CATTLE,TOTAL,NOT SPECIFIED,1400,,"5,300",,39047
5,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,KNOX,083,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,3100,,"18,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,KNOX,,,0,,CATTLE,TOTAL,NOT SPECIFIED,3200,,"17,100",,39083
6,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,LICKING,089,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,3300,,"23,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,LICKING,,,0,,CATTLE,TOTAL,NOT SPECIFIED,3500,,"22,500",,39089
7,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,MADISON,097,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,3700,,"11,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,MADISON,,,0,,CATTLE,TOTAL,NOT SPECIFIED,4000,,"11,000",,39097
8,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,MARION,101,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,3700,,"6,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,MARION,,,0,,CATTLE,TOTAL,NOT SPECIFIED,3800,,"6,300",,39101
9,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,MORROW,117,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,1500,,"10,000",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,MORROW,,,0,,CATTLE,TOTAL,NOT SPECIFIED,1500,,"9,500",,39117
10,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,PICKAWAY,129,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,1700,,"9,000",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,PICKAWAY,,,0,,CATTLE,TOTAL,NOT SPECIFIED,1700,,"8,500",,39129
11,SURVEY,2022,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50.0,ROSS,141,,,0,,CATTLE,TOTAL,NOT SPECIFIED,,,1500,,"14,500",,SURVEY,2023,FIRST OF JAN,,COUNTY,OHIO,39,CENTRAL,50,ROSS,,,0,,CATTLE,TOTAL,NOT SPECIFIED,1500,,"14,000",,39141
